"bank_name","bank_code","branches__branch_code","branches__branch_name"
"Kenya Commercial Bank Limited","01","340","Karen Waterfront Platinum"
"","","341","KCB Ngong Branch"
"","","325","Garden City"
"","","326","JKIA"
"","","327","Makutano"
"","","330","KCB NextGen"
"","","331","KCB Mogotio"
"","","329","Two Rivers"
"","","332","KCB Upperhill Platinum"
"","","337","KCB Kilimani Platinum"
"","","339","KCB Utawala"
"","","302","Diaspora"
"","","303","Kisii West"
"","","304","Mbita"
"","","305","Sori"
"","","306","Hurlingham"
"","","307","Kibera"
"","","308","Thika Road Mall Branch"
"","","309","Kasarani Branch"
"","","310","KCB Maasai Mara"
"","","311","KCB Kabartonjo"
"","","312","KCB Eldoret East"
"","","313","Kikim"
"","","314","KCB JKUAT"
"","","315","KCB Changamwe"
"","","316","KCB Makongeni"
"","","317","KCB Syokimau"
"","","318","KCB Moi Referral Hospital"
"","","319","KCB Kitale Advantage"
"","","320","KCB Lavington"
"","","322","KCB Riverside Advantage"
"","","323","KCB Gigiri Square"
"","","324","Kayole"
"","","214","Gatundu"
"","","215","Emali"
"","","216","Isiolo"
"","","217","KCB Flamingo"
"","","218","Njoro"
"","","219","Mutomo"
"","","220","Mariakani"
"","","221","Mpeketoni"
"","","222","Mtitu Andei"
"","","223","Mtwapa"
"","","224","Taveta"
"","","225","Kengeleni"
"","","226","Garsen"
"","","227","Watamu"
"","","228","Bondo"
"","","229","Busia"
"","","230","Homa Bay"
"","","231","Kapsowar"
"","","232","Kehancha"
"","","233","Keroka"
"","","234","Kilgoris"
"","","235","Kimilili"
"","","236","Litein"
"","","237","Londiani Branch"
"","","238","Luanda"
"","","239","Malaba"
"","","240","Muhoroni"
"","","241","Oyugis"
"","","242","Ugunja"
"","","243","United Mall"
"","","244","Serem"
"","","245","Sondu"
"","","246","Kisumu West"
"","","247","Marigat"
"","","248","Mois Bridge"
"","","249","Mashariki"
"","","250","Naro Moro"
"","","251","Kiriaini"
"","","252","Egerton University"
"","","253","Maua"
"","","254","Kawangare"
"","","255","Kimathi"
"","","256","Namanga"
"","","288","Haile Selassie"
"","","289","Salama House Mortgage Centre"
"","","290","Garden Plaza"
"","","291","Sarit Centre Mortgage Centre"
"","","292","Cpc Bulk Corporate Cheques"
"","","293","Trade Services"
"","","295","Nairobi High Court"
"","","296","Mombasa High Court"
"","","297","Kisumu Airport"
"","","298","Port Victoria"
"","","300","Nyali"
"","","301","Westgate Advantage"
"","","287","Kisauni"
"","","257","Gikomba"
"","","258","Kwale"
"","","259","Prestige Plaza"
"","","260","Kariobangi"
"","","263","Biashara Street"
"","","266","Ngara"
"","","267","Kyuso"
"","","270","Masii"
"","","271","Menengai Crater"
"","","272","Town Centre"
"","","278","Makindu"
"","","283","Rongo"
"","","284","Isibania"
"","","285","Kiserian"
"","","286","Mwembe Tayari"
"","","342","Imara Daima"
"","","343","Takaba Town"
"","","163","Eldama Ravine"
"","","164","Kibwezi"
"","","166","Kapsabet"
"","","167","University Way"
"","","168","KCB Eldoret West"
"","","169","Garissa"
"","","124","Mumias"
"","","125","Nanyuki"
"","","127","Moyale"
"","","129","Kikuyu"
"","","130","Tala"
"","","131","Kajiado"
"","","133","KCB Custody services"
"","","134","Matuu"
"","","135","Kitui"
"","","136","Mvita"
"","","137","Jogoo Rd Nairobi"
"","","139","Card Centre"
"","","140","Marsabit"
"","","141","Sarit Centre"
"","","142","Loitokitok"
"","","143","Nandi Hills"
"","","144","Lodwar"
"","","145","Un Gigiri"
"","","146","Hola"
"","","147","Ruiru"
"","","148","Mwingi"
"","","149","Kitale"
"","","150","Mandera"
"","","151","Kapenguria"
"","","152","Kabarnet"
"","","153","Wajir"
"","","154","Maralal"
"","","155","Limuru"
"","","157","Ukunda"
"","","158","Iten"
"","","159","Gilgil"
"","","161","Ongata Rongai"
"","","162","Kitengela"
"","","338","KCB Langata"
"","","344","KCB Rumuruti Branch"
"","","091","Eastleigh"
"","","092","KCB CPC"
"","","094","Head Office"
"","","095","Wote"
"","","096","Head Office Finance"
"","","100","Moi Avenue Nairobi"
"","","101","Kipande House"
"","","102","Treasury Sq Mombasa"
"","","103","Nakuru"
"","","104","Kicc"
"","","105","Kisumu"
"","","106","Kericho"
"","","107","Tom Mboya"
"","","108","Thika"
"","","109","Eldoret"
"","","110","Kakamega"
"","","111","Kilindini Mombasa"
"","","112","Nyeri"
"","","113","Industrial Area Nairobi"
"","","114","River Road"
"","","115","Muranga"
"","","116","Embu"
"","","117","Kangema"
"","","119","Kiambu"
"","","120","Karatina"
"","","121","Siaya"
"","","122","Nyahururu"
"","","123","Meru"
"","","173","Lamu"
"","","174","Kilifi"
"","","175","Milimani"
"","","176","Nyamira"
"","","177","Mukuruweini"
"","","180","Village Market"
"","","181","Bomet"
"","","183","Mbale"
"","","184","Narok"
"","","185","Othaya"
"","","186","Voi"
"","","188","Webuye"
"","","189","Sotik"
"","","190","Naivasha"
"","","191","Kisii"
"","","192","Migori"
"","","193","Githunguri"
"","","194","Machakos"
"","","195","Kerugoya"
"","","196","Chuka"
"","","197","Bungoma"
"","","198","Wundanyi"
"","","199","Malindi"
"","","201","Capital Hill"
"","","202","Karen"
"","","203","Lokichogio"
"","","204","Gateway Msa Road"
"","","205","Buruburu"
"","","206","Chogoria"
"","","207","Kangare"
"","","208","Kianyaga"
"","","209","Nkubu"
"","","210","Ol Kalou"
"","","211","Makuyu"
"","","212","Mwea"
"","","213","Njambini"
"","","333","Kakuma Branch"
"","","334","KCB Parklands"
"","","335","KCB Diani"
"","","336","KCB Eldoret Advantage Branch"
"Standard Chartered Bank Kenya Ltd","02","000","Eldoret"
"","","001","Kericho"
"","","002","Kisumu"
"","","003","Kitale"
"","","004","Treasury Square"
"","","005","Kilindini"
"","","006","Kenyatta Avenue"
"","","008","Moi Avenue"
"","","009","Nakuru"
"","","010","Nanyuki"
"","","011","Nyeri"
"","","012","Thika"
"","","015","Westlands"
"","","016","Machakos"
"","","017","Meru"
"","","019","Harambee Avenue"
"","","053","Industrial Area"
"","","054","Kakamega"
"","","064","Koinage"
"","","071","Yaya Centre Branch"
"","","072","Ruaraka"
"","","073","Langata"
"","","074","Makupa"
"","","075","Karen"
"","","076","Muthaiga"
"","","078","C.o.u"
"","","079","Ukay"
"","","080","Two Rivers Branch"
"","","081","Kisii"
"","","082","Upper Hill Branch"
"","","083","Nyali"
"","","084","Chiromo"
"","","085","Greenspan"
"","","086","The T-Mall"
"","","087","The Junction"
"","","089","Kitengela"
"","","090","Bungoma"
"","","091","Thika Road Mall"
"","","092","UN Gigiri"
"Absa Bank Kenya Plc","03","140","Two Rivers"
"","","007","Kericho Branch"
"","","008","Kisii Branch"
"","","009","Kisumu Branch"
"","","010","South C Branch"
"","","011","Limuru Branch"
"","","012","Malindi Branch"
"","","013","Meru Branch"
"","","014","Eastleigh Branch"
"","","015","Kitui Branch"
"","","016","Nkrumah Road Branch"
"","","017","Garissa Branch"
"","","018","Nyamira Branch"
"","","019","Kilifi Branch"
"","","020","Office Park Westlands"
"","","026","Kakamega Branch"
"","","001","Head Office - Vpc"
"","","002","Kapsabet Branch"
"","","003","Eldoret Branch"
"","","004","Embu Branch"
"","","005","Murang A Branch"
"","","006","Kapenguria Branch"
"","","021","Barclaycard Operations"
"","","022","Paymants And International Services"
"","","023","Gilgil Branch"
"","","024","Thika Road Mall"
"","","049","Lavington Branch"
"","","050","Tala"
"","","051","Homa Bay Branch"
"","","052","Ongata Rongai Branch"
"","","053","Othaya Branch"
"","","054","Voi Branch"
"","","055","Muthaiga Branch"
"","","056","Barclays Advisory And Reg. Services"
"","","057","Githunguri Branch"
"","","058","Webuye Branch"
"","","059","Kasarani Branch"
"","","060","Chuka Branch"
"","","061","Nakumatt-westgate Branch"
"","","062","Kabarnet Branch"
"","","063","Kerugoya Branch"
"","","064","Taveta Branch"
"","","065","Karen Branch"
"","","066","Wundanyi Branch"
"","","067","Ruaraka Branch"
"","","068","Kitengela Branch"
"","","069","Wote Branch"
"","","070","Enterprise Road Branch"
"","","071","Nakumatt Meru Branch"
"","","072","Juja Branch"
"","","073","Westlands Branch"
"","","074","Kikuyu Branch"
"","","075","Moi Avenue-nairobi Branch"
"","","076","Nyali"
"","","077","Absa Towers Branch"
"","","034","Kawangware"
"","","035","Mbale"
"","","036","Plaza Premier Centre"
"","","037","River Road Branch"
"","","038","Chomba House-river Road"
"","","039","Mumias Branch"
"","","040","Machakos Branch"
"","","041","Narok Branch"
"","","042","Isiolo Branch"
"","","043","Ngong Branch"
"","","044","Maua Branch"
"","","045","Hurlingham Branch"
"","","046","Makupa Branch"
"","","047","Development House Branch"
"","","048","Bungoma"
"","","027","Nakuru East"
"","","028","Buruburu"
"","","029","Bomet"
"","","030","Nyeri Branch"
"","","031","Thika Branch"
"","","032","Port Mombasa"
"","","033","Gikomba"
"","","128","Bamburi Branch"
"","","130","Harambee Ave - Premier Life Centre"
"","","132","Kitale Branch"
"","","139","Nyahururu Branch"
"","","144","Treasury Operations"
"","","145","Moi Avenue Mombasa -  Premier Life Centre"
"","","151","Cash Monitoring Unit"
"","","190","Nanyuki Branch"
"","","206","Karatina Branch"
"","","220","Mombasa Nyerere Ave -  Premier Life Centre"
"","","273","Consumer Operations"
"","","300","Finance Department"
"","","337","Documents And Securities  Dsc"
"","","340","Retail Credit Team"
"","","354","Credit Operations"
"","","400","Head office"
"","","078","Kiriaini Branch"
"","","079","Butere Road Branch"
"","","080","Migori Branch"
"","","081","Digo Branch"
"","","082","Haile Selassie Avenue Branch"
"","","083","Nairobi University Branch"
"","","084","Bunyala Road"
"","","086","Nairobi West Branch"
"","","087","Parklands"
"","","088","Busia"
"","","089","Pangani Branch"
"","","090","Abc Premier Life Centre"
"","","093","Kariobangi Branch"
"","","094","Queensway House Branch"
"","","095","Nakumatt Embakasi Branch"
"","","096","Barclays Merchant Finance Ltd."
"","","097","Barclays Securities Services (k"
"","","100","Diani Branch"
"","","103","Nairobi J.k.i.a Branch"
"","","105","Village Market - Premier Life Centre"
"","","106","Sarit Centre - Premier Life Centre"
"","","109","Yaya Centre- Premier Life Centre"
"","","111","Naivasha Branch"
"","","113","Market Branch"
"","","114","Changamwe Branch"
"","","117","Rahimtulla Trust Towers - Premier Life Centre"
"","","125","Nakuru West Branch"
"Bank of India","05","000","Kenyatta Avenue , Nairobi"
"","","001","Nkrumah Road , Mombasa"
"","","002","Industrial Area"
"","","003","Westlands"
"","","005","Eldoret"
"Bank of Baroda(Kenya Ltd)","06","017","Muthithi road"
"","","000","Nairobi Main"
"","","002","Digo Road, Mombasa"
"","","004","Thika"
"","","005","Kisumu"
"","","006","Sarit Centre"
"","","007","Industrial Area"
"","","008","Eldoret"
"","","009","Nakuru"
"","","010","Kakamega"
"","","011","Nyali Mombasa"
"","","012","Meru"
"","","015","Diamond Plaza"
"","","016","Mombasa Road"
"NCBA Bank Kenya Plc","07","209","Mwembe Tayari"
"","","208","Ruiru Eastern Bypass"
"","","206","Nyeri"
"","","207","Karatina"
"","","210","Kakamega"
"","","033","River Road"
"","","034","Karen Hub"
"","","211","Kericho"
"","","213","Bungoma"
"","","212","Embu"
"","","216","Gikomba"
"","","214","Ngong"
"","","215","Kiambu"
"","","217","Naivasha"
"","","035","Garden City"
"","","036","Two Rivers Mall"
"","","101","City Centre"
"","","102","NIC House"
"","","103","Harbour House"
"","","105","Westlands"
"","","106","The Junction Br."
"","","107","Nakuru"
"","","110","Harambee"
"","","111","Prestige-Ngong Road"
"","","112","Kisumu"
"","","113","Thika"
"","","114","Meru"
"","","118","Sameer Park"
"","","119","Karen"
"","","121","Taj Mall"
"","","122","ABC"
"","","123","Thika Road Mall"
"","","124","Changamwe Branch"
"","","125","Kenyatta Avenue"
"","","126","Riverside"
"","","127","Machakos"
"","","128","Lunga Lunga Square"
"","","129","Kilimani"
"","","130","Kitengela"
"","","146","Kilifi"
"","","147","Watamu"
"","","148","Diani"
"","","149","Kitale"
"","","200","Narok Branch"
"","","201","Lavington Branch"
"","","500","Head Office"
"","","501","Head Office"
"","","502","Head Office"
"","","503","Head Office"
"","","600","Head Office"
"","","131","Kisii"
"","","132","KMA Centre"
"","","133","Buru Buru"
"","","134","CPA Centre, Ruaraka"
"","","135","Rongai"
"","","141","Rosslyn Riviera"
"","","142","Ciata Mall"
"","","143","Parklands"
"","","144","Nanyuki"
"","","145","Malindi"
"","","005","Industrial Area"
"","","006","Mamlaka"
"","","007","Village Market"
"","","008","Cargo Centre"
"","","009","Park Side"
"","","026","Eldoret"
"","","027","Kisumu"
"","","028","Thika"
"","","029","Nanyuki"
"","","030","Yaya Centre"
"","","031","Lavington"
"","","032","Machakos"
"","","016","Galleria Mall"
"","","017","Junction"
"","","018","Thika Road Mall"
"","","019","Greenspan Mall"
"","","020","Moi Avenue Mombasa"
"","","021","Meru"
"","","022","Nakuru"
"","","023","Nyali"
"","","024","Diani"
"","","025","Changamwe"
"","","219","Busia"
"","","223","Kenol Town"
"","","222","Utawala Nairobi"
"","","221","Eastleigh Nairobi"
"","","33 ","River Road"
"","","218","Muranga"
"","","224","Kahawa Sukari"
"","","220","Chwele"
"","","226","Migori Branch"
"","","225","Wote Branch"
"","","115","Galleria (Bomas)"
"","","116","Eldoret"
"","","117","Village Market"
"","","000","Head Office"
"","","001","Upper Hill"
"","","002","Wabera Street"
"","","003","Mama Ngina"
"","","004","Westlands Branch"
"","","104","Head Office-Fargo"
"","","108","Nyali"
"","","109","Nkrumah Road"
"","","204","Sarit Centre Branch"
"Central Bank Of Kenya","09","008","Kisii Centre"
"","","000","Head Office"
"","","001","Head Office"
"","","002","Mombasa"
"","","003","Kisumu"
"","","004","Eldoret"
"","","006","Nakuru Centre"
"Prime Bank Limited","10","021","Two Rivers"
"","","023","Meru"
"","","024","Lavington Branch"
"","","022","UAP Towers"
"","","000","H/o Riverside"
"","","001","Kenindia"
"","","002","Biashara"
"","","003","Mombasa"
"","","004","Westlands"
"","","005","Industrial Area"
"","","006","Kisumu"
"","","007","Parklands"
"","","008","Riverside Drive"
"","","009","Card Centre"
"","","010","Hurlingham"
"","","011","Capital Centre"
"","","012","Nyali"
"","","014","Kamukunji"
"","","015","Eldoret"
"","","016","Karen"
"","","017","Nakuru"
"","","020","Garden City"
"","","019","Thika"
"","","027","Baba Dogo"
"","","025","Village Market"
"","","026","Kitale"
"Co-operative Bank of Kenya Limited","11","170","Kamulu Branch"
"","","156","Ridgeways Mall"
"","","157","Two Rivers Mall"
"","","158","JKIA"
"","","154","Gikomba Area 42"
"","","166","Kapenguria Sub - Branch"
"","","162","Litein"
"","","161","Kilimani"
"","","159","Emali"
"","","163","Thika Makongeni"
"","","160","Kangema"
"","","155","Utawala"
"","","020","Eastleigh"
"","","021","Kiambu"
"","","022","Homa Bay"
"","","023","Embu"
"","","024","Kericho"
"","","025","Bungoma"
"","","026","Muranga"
"","","027","Kayole"
"","","028","Karatina"
"","","029","Ukunda"
"","","030","Mtwapa"
"","","031","University Way"
"","","032","Buru Buru"
"","","033","Athi River"
"","","034","Mumias"
"","","038","Ongata Rongai"
"","","039","Thika"
"","","040","Nacico"
"","","041","Kariobangi"
"","","042","Kawangware"
"","","043","Makutano"
"","","044","Parliament road"
"","","045","Kimathi Street"
"","","046","Kitale"
"","","047","Githurai"
"","","048","Maua"
"","","049","City  Hall"
"","","050","Digo Rd"
"","","051","Nbc"
"","","000","Head Office"
"","","001","Finance And Accounts"
"","","002","Co-op House"
"","","003","Kisumu"
"","","004","Nkurumah Road"
"","","005","Meru"
"","","006","Nakuru"
"","","007","Industrial Area"
"","","008","Kisii"
"","","009","Machakos"
"","","010","Nyeri"
"","","011","Ukulima"
"","","012","Kerugoya"
"","","013","Eldoret"
"","","014","Moi Avenue"
"","","015","Naivasha"
"","","017","Nyahururu"
"","","018","Chuka"
"","","019","Wakulima Market"
"","","062","Zimmerman"
"","","063","Kenyatta Avenue Nakuru"
"","","064","Kitengela"
"","","065","Aga Khan Walk"
"","","066","Narok"
"","","067","Kitui"
"","","068","Nanyuki"
"","","069","Embakasi"
"","","070","Kibera"
"","","071","Siakago"
"","","072","Kapsabet"
"","","073","Mbita"
"","","074","Kangemi"
"","","075","Dandora"
"","","076","Kajiado"
"","","077","Tala"
"","","078","Gikomba"
"","","079","River Road"
"","","080","Nyamira"
"","","081","Garisa"
"","","082","Bomet"
"","","083","Keroka"
"","","084","Gilgil"
"","","085","Tom Mboya"
"","","086","Likoni"
"","","087","Donholm"
"","","088","Mwingi"
"","","089","Ruaka"
"","","090","Webuye"
"","","094","Sacco Clearing Unit"
"","","097","Clearing Centre"
"","","100","Ndhiwa"
"","","101","Oyugis"
"","","102","Isiolo"
"","","103","Uganda Road Eldoret"
